・エリア供給力は、特定できるものは電源種別とし、バイオマス混焼や特定できないものは火力に包含(2018年10月1日から揚水欄は揚水発電と揚水動力の合計値）
・実績データを基本とするが、把握実態により計画･統計データを採用する場合があり、情報は速報扱いとし、修正が必要となった場合には事後的に修正する
・太陽光の自家消費分は、エリア需要実績や太陽光発電実績には加算していない
,,,,,,,,,,,,,単位：MWh
DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,太陽光（出力制御量）,風力（実績）,風力（出力制御量）,揚水,連系線
2019/04/01,00:00,11979,0,10855,502,0,0,0,0,124,0,0,498
2019/04/01,01:00,11880,0,10736,502,0,0,0,0,125,0,0,517
2019/04/01,02:00,12192,0,11160,505,0,0,0,0,110,0,0,417
2019/04/01,03:00,12465,0,11992,506,0,0,0,0,95,0,0,-128
2019/04/01,04:00,12615,0,12259,515,0,0,0,0,88,0,0,-247
2019/04/01,05:00,13214,0,12729,508,0,0,0,0,85,0,0,-108
2019/04/01,06:00,14340,0,13186,629,0,0,667,0,79,0,19,-240
2019/04/01,07:00,15472,0,12057,695,0,0,2694,0,78,0,11,-63
2019/04/01,08:00,17239,0,11806,705,0,0,4424,0,56,0,0,248
2019/04/01,09:00,18117,0,11662,660,0,0,5423,0,54,0,0,318
2019/04/01,10:00,18097,0,11158,553,0,0,6145,0,74,0,-21,188
2019/04/01,11:00,17979,0,11523,534,0,0,6085,0,99,0,-303,41
2019/04/01,12:00,16428,0,10518,539,0,0,5462,0,111,0,-334,132
2019/04/01,13:00,17436,0,11652,556,0,0,5327,0,122,0,-255,34
2019/04/01,14:00,17317,0,12527,735,0,0,3903,0,145,0,-127,134
2019/04/01,15:00,17263,0,13210,760,0,0,2937,0,157,0,4,195
2019/04/01,16:00,17680,0,14418,792,0,0,1931,0,146,0,23,370
2019/04/01,17:00,17537,0,16250,1117,0,0,301,0,128,0,148,-407
2019/04/01,18:00,18282,0,17165,1321,0,0,0,0,177,0,374,-755
2019/04/01,19:00,17867,0,16894,1304,0,0,0,0,168,0,319,-818
2019/04/01,20:00,17437,0,16232,1259,0,0,0,0,155,0,190,-399
2019/04/01,21:00,17133,0,16019,963,0,0,0,0,182,0,34,-65
2019/04/01,22:00,16447,0,15301,740,0,0,0,0,167,0,0,239
2019/04/01,23:00,16018,0,15043,695,0,0,0,0,140,0,0,140
2019/04/02,00:00,15060,0,13913,521,0,0,0,0,144,0,0,482
2019/04/02,01:00,14849,0,14370,504,0,0,0,0,125,0,0,-150
2019/04/02,02:00,14999,0,14776,488,0,0,0,0,127,0,0,-392
2019/04/02,03:00,15095,0,14864,494,0,0,0,0,127,0,0,-390
2019/04/02,04:00,15010,0,14867,498,0,0,0,0,141,0,0,-496
2019/04/02,05:00,15271,0,15050,489,0,0,0,0,124,0,120,-512
2019/04/02,06:00,16377,0,15158,520,0,0,713,0,108,0,236,-358
2019/04/02,07:00,17108,0,13740,667,0,0,2689,0,98,0,29,-115
2019/04/02,08:00,18609,0,13156,770,0,0,4408,0,76,0,21,178
2019/04/02,09:00,19168,0,12435,665,0,0,5690,0,72,0,1,305
2019/04/02,10:00,18913,0,12232,614,0,0,5791,0,113,0,-2,165
2019/04/02,11:00,18813,0,13085,542,0,0,5227,0,129,0,-230,60
2019/04/02,12:00,17196,0,12806,518,0,0,4042,0,126,0,-4,-292
2019/04/02,13:00,18472,0,14029,615,0,0,4052,0,156,0,-221,-159
2019/04/02,14:00,18523,0,13674,600,0,0,4111,0,160,0,-36,14
2019/04/02,15:00,18190,0,14395,612,0,0,3168,0,163,0,13,-161
2019/04/02,16:00,18319,0,15379,823,0,0,1917,0,146,0,13,41
2019/04/02,17:00,18280,0,16322,1309,0,0,368,0,135,0,277,-131
2019/04/02,18:00,18930,0,17005,1562,0,0,0,0,123,0,898,-658
2019/04/02,19:00,18687,0,17059,1388,0,0,0,0,109,0,663,-532
2019/04/02,20:00,18166,0,17028,1113,0,0,0,0,72,0,338,-385
2019/04/02,21:00,17844,0,16933,979,0,0,0,0,72,0,153,-293
2019/04/02,22:00,16943,0,16085,708,0,0,0,0,60,0,0,90
2019/04/02,23:00,16440,0,14894,729,0,0,0,0,78,0,0,739
2019/04/03,00:00,15601,0,14099,485,0,0,0,0,85,0,0,932
2019/04/03,01:00,15286,0,14348,468,0,0,0,0,73,0,0,397
2019/04/03,02:00,15364,0,14609,495,0,0,0,0,74,0,0,186
2019/04/03,03:00,15373,0,14610,535,0,0,0,0,60,0,0,168
2019/04/03,04:00,15197,0,14598,526,0,0,0,0,66,0,0,7
2019/04/03,05:00,15488,0,14952,576,0,0,0,0,83,0,26,-149
