・エリア供給力は、特定できるものは電源種別とし、特定できないものは火力に包含(2021年9月1日から地熱・一部のバイオマスを特定）
・実績データを基本とするが、把握実態により計画･統計データを採用する場合があり、情報は速報扱いとし、修正が必要となった場合には事後的に修正する
・太陽光の自家消費分は、エリア需要実績や太陽光発電実績には加算していない
,,,,,,,,,,,,,単位：MWh
DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,太陽光（出力制御量）,風力（実績）,風力（出力制御量）,揚水,連系線
2022/04/01,00:00,12678,0,10765,1030,0,230,0,0,223,0,138,292
2022/04/01,01:00,12424,0,10435,1001,0,229,0,0,202,0,0,557
2022/04/01,02:00,12625,0,10688,1037,0,230,0,0,195,0,20,455
2022/04/01,03:00,12868,0,10629,1054,0,230,0,0,198,0,82,675
2022/04/01,04:00,12910,0,10738,1109,1,230,0,0,190,0,130,512
2022/04/01,05:00,13105,0,10803,1120,0,229,0,0,183,0,130,640
2022/04/01,06:00,13768,0,10984,1080,0,230,45,0,191,0,64,1174
2022/04/01,07:00,14844,0,11119,1216,0,230,443,0,193,0,196,1447
2022/04/01,08:00,16768,0,11213,1374,0,226,1547,0,162,0,70,2176
2022/04/01,09:00,17797,0,10016,1342,0,221,3713,0,150,0,66,2289
2022/04/01,10:00,17374,0,8418,1276,0,219,5818,0,148,0,-166,1661
2022/04/01,11:00,17188,0,8294,1264,0,218,7602,0,158,0,-507,159
2022/04/01,12:00,16057,0,7653,1167,0,221,8125,0,175,0,-1523,239
2022/04/01,13:00,16478,0,8472,1213,0,220,7360,0,165,0,-1219,267
2022/04/01,14:00,16239,0,8861,1258,1,220,6249,0,160,0,-895,385
2022/04/01,15:00,16043,0,9621,1327,0,221,4712,0,184,0,-387,365
2022/04/01,16:00,15976,0,10473,1423,0,222,2503,0,184,0,24,1147
2022/04/01,17:00,15821,0,12496,1549,0,223,568,0,176,0,181,628
2022/04/01,18:00,16476,0,13102,1795,0,221,0,0,175,0,842,341
2022/04/01,19:00,16281,0,12647,1775,0,223,0,0,154,0,1539,-57
2022/04/01,20:00,15934,0,12919,1578,0,221,0,0,133,0,1645,-562
2022/04/01,21:00,15734,0,13237,1303,0,222,0,0,130,0,1028,-186
2022/04/01,22:00,15130,0,13139,1170,0,221,0,0,125,0,436,39
2022/04/01,23:00,14722,0,12994,1003,0,223,0,0,127,0,324,51
