※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2023/1/1,0:00,2961,0,2324,457,,117,0,0,42,0,49,-28
2023/1/1,1:00,2978,0,2372,489,,116,0,0,57,0,0,-56
2023/1/1,2:00,3081,0,2285,485,,117,0,0,55,0,0,140
2023/1/1,3:00,3137,0,2484,551,,117,0,0,55,0,0,-70
2023/1/1,4:00,3077,0,2493,533,,117,0,0,61,0,0,-127
2023/1/1,5:00,2875,0,2436,524,,116,0,0,62,0,0,-263
2023/1/1,6:00,2620,0,2236,525,,116,0,0,62,0,0,-320
2023/1/1,7:00,2530,0,2226,553,,116,12,0,51,0,0,-429
2023/1/1,8:00,2569,0,1891,496,,116,70,0,79,0,0,-83
2023/1/1,9:00,2575,0,2001,390,,116,132,0,84,0,0,-147
2023/1/1,10:00,2542,0,2008,345,,116,190,0,83,0,0,-200
2023/1/1,11:00,2491,0,1884,349,,117,196,0,93,0,0,-149
2023/1/1,12:00,2499,0,2024,349,,116,172,0,83,0,0,-245
2023/1/1,13:00,2469,0,2023,356,,116,154,0,80,0,0,-261
2023/1/1,14:00,2453,0,1873,378,,117,69,0,77,0,0,-61
2023/1/1,15:00,2475,0,1863,366,,116,52,0,48,0,0,30
2023/1/1,16:00,2584,0,2092,410,,116,3,0,43,0,0,-81
2023/1/1,17:00,2755,0,2304,623,,117,0,0,28,0,0,-317
2023/1/1,18:00,2776,0,2271,715,,117,0,0,27,0,0,-353
2023/1/1,19:00,2761,0,2306,690,,116,0,0,34,0,0,-385
2023/1/1,20:00,2753,0,2385,570,,116,0,0,32,0,0,-351
2023/1/1,21:00,2714,0,2439,475,,116,0,0,42,0,0,-358
2023/1/1,22:00,2694,0,2404,394,,116,0,0,30,0,0,-251
2023/1/1,23:00,2725,0,2310,431,,116,0,0,54,0,0,-186
2023/1/2,0:00,2652,0,2084,479,,117,0,0,81,0,0,-109
2023/1/2,1:00,2710,0,1998,535,,116,0,0,93,0,0,-32
2023/1/2,2:00,2889,0,2159,687,,116,0,0,91,0,0,-164
2023/1/2,3:00,3008,0,2346,612,,117,0,0,104,0,0,-170
2023/1/2,4:00,2988,0,2404,545,,117,0,0,87,0,0,-164
2023/1/2,5:00,2844,0,2270,442,,116,0,0,75,0,0,-59
2023/1/2,6:00,2680,0,2206,385,,116,0,0,65,0,0,-92
2023/1/2,7:00,2606,0,2336,445,,116,7,0,56,0,0,-353
2023/1/2,8:00,2700,0,2235,378,,115,48,0,48,0,0,-123
2023/1/2,9:00,2779,0,1902,381,,117,137,0,39,0,0,204
2023/1/2,10:00,2720,0,1464,355,,116,207,0,39,0,0,539
2023/1/2,11:00,2639,0,1159,349,,116,243,0,38,0,0,734
2023/1/2,12:00,2619,0,1201,348,,116,234,0,41,0,0,680
2023/1/2,13:00,2560,0,1159,351,,116,182,0,53,0,0,699
2023/1/2,14:00,2564,0,1186,370,,116,133,0,56,0,0,704
2023/1/2,15:00,2611,0,1499,386,,116,60,0,52,0,0,498
2023/1/2,16:00,2738,0,1929,403,,116,11,0,47,0,0,233
2023/1/2,17:00,2985,0,2290,538,,116,0,0,53,0,0,-12
2023/1/2,18:00,3028,0,2295,673,,118,0,0,44,0,0,-101
2023/1/2,19:00,3024,0,2243,764,,116,0,0,29,0,26,-154
2023/1/2,20:00,2995,0,2206,669,,116,0,0,26,0,24,-46
2023/1/2,21:00,2927,0,2226,518,,117,0,0,23,0,0,44
2023/1/2,22:00,2907,0,2152,428,,116,0,0,24,0,0,188
2023/1/2,23:00,2977,0,2224,394,,116,0,0,17,0,0,227
2023/1/3,0:00,2934,0,2336,459,,117,0,0,21,0,0,1
2023/1/3,1:00,2994,0,2345,481,,116,0,0,23,0,0,29
2023/1/3,2:00,3160,0,2312,494,,117,0,0,19,0,0,218
2023/1/3,3:00,3231,0,2208,629,,117,0,0,21,0,0,257
2023/1/3,4:00,3188,0,2221,589,,117,0,0,20,0,0,242
2023/1/3,5:00,3059,0,2295,527,,116,0,0,15,0,0,105
2023/1/3,6:00,2910,0,2157,474,,117,0,0,16,0,0,146
2023/1/3,7:00,2837,0,1979,456,,116,7,0,11,0,0,269
2023/1/3,8:00,2941,0,1819,409,,116,47,0,13,0,0,537
2023/1/3,9:00,2978,0,1407,368,,117,169,0,10,0,0,907
2023/1/3,10:00,2800,0,1091,339,,116,383,0,19,0,0,851
2023/1/3,11:00,2604,0,784,349,,116,449,0,19,0,0,887
2023/1/3,12:00,2614,0,1020,368,,117,377,0,17,0,-116,832
2023/1/3,13:00,2579,0,1107,348,,117,228,0,30,0,-118,867
2023/1/3,14:00,2567,0,1039,352,,116,169,0,43,0,0,848
2023/1/3,15:00,2685,0,1414,397,,116,54,0,51,0,0,653
2023/1/3,16:00,2890,0,1829,358,,117,5,0,53,0,0,528
2023/1/3,17:00,3104,0,2107,536,,116,0,0,57,0,3,286
2023/1/3,18:00,3152,0,2210,725,,117,0,0,56,0,99,-56
2023/1/3,19:00,3105,0,2373,644,,116,0,0,55,0,99,-183
2023/1/3,20:00,3058,0,2495,519,,116,0,0,52,0,14,-138
2023/1/3,21:00,2951,0,2517,430,,117,0,0,41,0,0,-155
2023/1/3,22:00,2883,0,2555,347,,116,0,0,41,0,0,-176
2023/1/3,23:00,2941,0,2767,394,,116,0,0,33,0,0,-369
2023/1/4,0:00,2889,0,2712,438,,117,0,0,35,0,0,-412
2023/1/4,1:00,2958,0,2682,500,,116,0,0,30,0,0,-370
2023/1/4,2:00,3129,0,2733,591,,117,0,0,26,0,0,-338
