ÅEî≠ìdé¿ê—ÇÕÅAìdåπéÌï Çì¡íËÇ≈Ç´ÇÈÇ‡ÇÃÇédï™ÇØÇµÅAìdåπéÌï Ç™ïsñæÇ»Ç‡ÇÃÇÕâŒóÕÇ…ä‹ÇÒÇ≈Ç®ÇËÇ‹Ç∑ÅB(2022îN2åé1ì˙Ç©ÇÁàÍïîÇÃÉoÉCÉIÉ}ÉXÇì¡íËÇµÅAédï™ÇØÇƒÇ®ÇËÇ‹Ç∑ÅBÅj,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2021/4/1 0:00,12166,2061,6639,1577,0,0,0,0,18,0,211,1662
2021/4/1 1:00,11962,2060,6546,1712,0,0,0,0,14,0,213,1417
2021/4/1 2:00,12626,2060,6673,1795,0,0,0,0,14,0,194,1890
2021/4/1 3:00,13162,2060,6846,1807,0,0,0,0,12,0,198,2237
2021/4/1 4:00,13247,2060,6710,1787,0,0,0,0,12,0,204,2474
2021/4/1 5:00,13084,2060,6786,1577,0,0,3,0,15,0,204,2439
2021/4/1 6:00,13397,2060,6720,1553,0,0,330,0,13,0,211,2510
2021/4/1 7:00,14051,2060,5948,1378,0,0,1452,0,14,0,33,3167
2021/4/1 8:00,15387,2060,5945,1365,0,0,2702,0,14,0,-571,3873
2021/4/1 9:00,16236,2060,6033,1305,0,0,3732,0,16,0,-689,3779
2021/4/1 10:00,16341,2060,5619,1295,0,0,4390,0,18,0,-783,3741
2021/4/1 11:00,16523,2060,5924,1259,0,0,4764,0,20,0,-990,3486
2021/4/1 12:00,15778,2059,5727,1199,0,0,4767,0,22,0,-1362,3365
2021/4/1 13:00,16306,2060,5990,1210,0,0,4416,0,22,0,-921,3528
2021/4/1 14:00,16168,2060,6153,1326,0,0,3762,0,18,0,-895,3744
2021/4/1 15:00,16072,2060,6955,1449,0,0,2803,0,14,0,-238,3030
2021/4/1 16:00,16152,2060,7627,1670,0,0,1621,0,11,0,425,2738
2021/4/1 17:00,15720,2060,7673,1806,0,0,486,0,10,0,266,3419
2021/4/1 18:00,15922,2060,8042,2008,0,0,15,0,16,0,330,3450
2021/4/1 19:00,15603,2060,7795,2040,0,0,0,0,24,0,335,3349
2021/4/1 20:00,14941,2060,7667,1914,0,0,0,0,17,0,180,3104
2021/4/1 21:00,14336,2060,7444,1884,0,0,0,0,17,0,98,2833
2021/4/1 22:00,13696,2060,7093,1848,0,0,0,0,17,0,98,2581
2021/4/1 23:00,13067,2060,6833,1800,0,0,0,0,11,0,116,2247
2021/4/2 0:00,12220,2060,6693,1292,0,0,0,0,14,0,61,2100
2021/4/2 1:00,12022,2060,6769,1341,0,0,0,0,10,0,-190,2032
2021/4/2 2:00,12596,2060,6700,1427,0,0,0,0,11,0,30,2368
2021/4/2 3:00,13128,2060,6757,1683,0,0,0,0,11,0,95,2523
2021/4/2 4:00,13083,2060,6776,1691,0,0,0,0,11,0,94,2451
2021/4/2 5:00,12797,2060,6793,1665,0,0,5,0,10,0,98,2165
2021/4/2 6:00,12960,2060,6869,1337,0,0,398,0,16,0,-247,2527
2021/4/2 7:00,13876,2060,6528,1386,0,0,1470,0,22,0,-319,2728
2021/4/2 8:00,15378,2060,6429,1423,0,0,2637,0,32,0,-282,3079
2021/4/2 9:00,16350,2060,5797,1591,0,0,3583,0,46,0,-315,3588
2021/4/2 10:00,16658,2060,5913,1303,0,0,4147,0,51,0,-340,3524
2021/4/2 11:00,16779,2060,6437,1227,0,0,4236,0,65,0,-316,3068
2021/4/2 12:00,15954,2060,6292,1172,0,0,3963,0,73,0,-919,3312
2021/4/2 13:00,16462,2060,6771,1169,0,0,3465,0,80,0,-248,3165
2021/4/2 14:00,16342,2060,7087,1248,0,0,2832,0,89,0,-185,3210
2021/4/2 15:00,16132,2060,7196,1474,0,0,2102,0,89,0,99,3112
2021/4/2 16:00,16107,2060,8165,1884,0,0,1196,0,73,0,111,2618
2021/4/2 17:00,15632,2060,7732,1963,0,0,404,0,75,0,196,3203
2021/4/2 18:00,15656,2059,8721,2038,0,0,17,0,58,0,228,2536
2021/4/2 19:00,15324,2060,8222,2041,0,0,0,0,58,0,202,2743
2021/4/2 20:00,14649,2060,7854,1943,0,0,0,0,49,0,205,2539
2021/4/2 21:00,14038,2061,7446,1902,0,0,0,0,37,0,199,2393
2021/4/2 22:00,13456,2061,7300,1769,0,0,0,0,34,0,214,2078
2021/4/2 23:00,12894,2061,7001,1698,0,0,0,0,29,0,140,1965
2021/4/3 0:00,12194,2061,6183,1406,0,0,0,0,23,0,126,2395
2021/4/3 1:00,11888,2061,6088,1414,0,0,0,0,19,0,141,2165
2021/4/3 2:00,12461,2061,6459,1590,0,0,0,0,14,0,121,2216
2021/4/3 3:00,12890,2061,7191,1643,0,0,0,0,14,0,117,1865
2021/4/3 4:00,12784,2061,7159,1645,0,0,0,0,13,0,126,1780
2021/4/3 5:00,12196,2061,6532,1602,0,0,5,0,16,0,125,1855
2021/4/3 6:00,11826,2062,5548,1354,0,0,340,0,22,0,-92,2592
2021/4/3 7:00,12381,2061,5321,1313,0,0,1065,0,18,0,-473,3075
2021/4/3 8:00,13441,2060,4922,1198,0,0,1595,0,26,0,-164,3804
2021/4/3 9:00,13919,2060,4666,1194,0,0,1797,0,38,0,30,4135
2021/4/3 10:00,14079,2060,4388,1126,0,0,2349,0,54,0,293,3810
