,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2022/4/1 0:00,12976,2069,7088,1408,0,68,0,0,101,0,-330,2571
2022/4/1 1:00,12671,2069,7243,1418,0,68,0,0,101,0,-155,1927
2022/4/1 2:00,13193,2069,7701,1421,0,68,0,0,112,0,0,1822
2022/4/1 3:00,13672,2069,7833,1620,0,68,0,0,112,0,0,1970
2022/4/1 4:00,13739,2069,7631,1583,0,68,0,0,104,0,0,2283
2022/4/1 5:00,13796,2069,7945,1604,0,68,2,0,106,0,0,2002
2022/4/1 6:00,14518,2069,8224,1666,0,68,210,0,108,0,88,2085
2022/4/1 7:00,15707,2069,8313,1720,0,69,988,0,108,0,158,2283
2022/4/1 8:00,17018,2069,8091,1863,0,69,2362,0,93,0,277,2195
2022/4/1 9:00,17577,2069,7093,1768,0,69,3759,0,106,0,126,2587
2022/4/1 10:00,17557,2068,6196,1351,0,69,4584,0,100,0,14,3176
2022/4/1 11:00,17511,2069,6126,1297,0,69,4932,0,94,0,-1137,4062
2022/4/1 12:00,16699,2069,6187,1296,0,68,4944,0,101,0,-2068,4102
2022/4/1 13:00,17093,2069,6212,1227,0,68,4569,0,116,0,-1179,4011
2022/4/1 14:00,16781,2069,6622,1403,0,68,3836,0,114,0,-1145,3813
2022/4/1 15:00,16685,2069,7253,1621,0,68,2862,0,107,0,-526,3230
2022/4/1 16:00,17105,2069,8946,1818,0,68,1681,0,102,0,136,2284
2022/4/1 17:00,17328,2069,10443,1955,0,68,559,0,94,0,167,1973
2022/4/1 18:00,17982,2069,11049,2127,0,68,18,0,81,0,828,1741
2022/4/1 19:00,17859,2069,10536,2122,0,68,0,0,79,0,328,2657
2022/4/1 20:00,17352,2068,10064,2039,0,68,0,0,78,0,100,2934
2022/4/1 21:00,16715,2068,10086,1916,0,68,0,0,61,0,101,2414
2022/4/1 22:00,15937,2069,9829,1747,0,68,0,0,57,0,150,2016
2022/4/1 23:00,15138,2068,9130,1649,0,68,0,0,54,0,19,2149
2022/4/2 0:00,14018,2069,7711,1464,0,68,0,0,49,0,0,2657
2022/4/2 1:00,13737,2068,7702,1509,0,68,0,0,51,0,0,2338
2022/4/2 2:00,14204,2068,8369,1501,0,68,0,0,46,0,5,2147
2022/4/2 3:00,14449,2068,8765,1513,0,68,0,0,44,0,94,1897
2022/4/2 4:00,14305,2068,8462,1520,0,68,0,0,37,0,73,2077
2022/4/2 5:00,13980,2068,8096,1487,0,68,3,0,29,0,0,2228
2022/4/2 6:00,14024,2069,7568,1324,0,68,277,0,18,0,0,2701
2022/4/2 7:00,14521,2068,7114,1083,0,68,1066,0,12,0,0,3109
2022/4/2 8:00,15326,2068,6745,1087,0,68,2149,0,12,0,-212,3409
2022/4/2 9:00,15721,2068,6342,1066,0,68,3000,0,13,0,29,3135
2022/4/2 10:00,15452,2068,5988,1007,0,68,3348,0,13,0,-465,3424
2022/4/2 11:00,15077,2068,5525,918,0,68,3571,0,15,0,-1116,4027
2022/4/2 12:00,14508,2068,5926,845,0,68,3666,0,16,0,-1715,3633
2022/4/2 13:00,14438,2068,6210,856,0,68,3435,0,14,0,-1111,2899
2022/4/2 14:00,14138,2068,6187,938,0,68,2923,0,12,0,-958,2900
2022/4/2 15:00,14085,2068,6531,1134,0,68,2143,0,10,0,-854,2984
2022/4/2 16:00,14540,2069,7172,1379,0,68,1246,0,8,0,102,2495
2022/4/2 17:00,15180,2068,8446,1672,0,68,437,0,7,0,143,2337
2022/4/2 18:00,16128,2068,9454,2025,0,68,20,0,6,0,211,2276
2022/4/2 19:00,16252,2068,9094,2105,0,68,0,0,6,0,132,2780
2022/4/2 20:00,15855,2069,9070,2015,0,68,0,0,6,0,256,2370
2022/4/2 21:00,15314,2069,8998,1928,0,68,0,0,7,0,177,2067
2022/4/2 22:00,14465,2069,8629,1520,0,68,0,0,9,0,99,2071
2022/4/2 23:00,13757,2069,8104,1282,0,68,0,0,11,0,100,2122
2022/4/3 0:00,12926,2069,7013,1313,0,68,0,0,9,0,1,2453
