,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2022/10/1 0:00,7476,1816,6077,661,128,509,0,0,2,0,-19,-1698
2022/10/1 1:00,7134,1815,5684,666,128,508,0,0,2,0,-25,-1644
2022/10/1 2:00,7218,1816,5782,692,128,507,0,0,1,0,-12,-1696
2022/10/1 3:00,7611,1814,6183,739,128,508,0,0,1,0,0,-1762
2022/10/1 4:00,7966,1812,6523,836,128,506,0,0,1,0,16,-1856
2022/10/1 5:00,8070,1813,6502,845,128,510,0,0,1,0,85,-1814
2022/10/1 6:00,7557,1815,5995,721,128,508,139,0,1,0,0,-1750
2022/10/1 7:00,7435,1815,4452,712,128,507,1622,0,0,0,-41,-1760
2022/10/1 8:00,7841,1814,3173,683,128,473,3724,0,0,0,-320,-1834
2022/10/1 9:00,8719,1816,2590,660,127,423,5668,0,0,0,-677,-1888
2022/10/1 10:00,9397,1815,2315,689,126,420,7083,0,0,0,-1127,-1924
2022/10/1 11:00,10113,1817,2178,671,127,422,7970,0,0,0,-1162,-1910
2022/10/1 12:00,10231,1815,2282,632,126,421,8059,0,0,0,-1172,-1932
2022/10/1 13:00,10402,1815,2690,637,126,421,7606,0,0,0,-999,-1894
2022/10/1 14:00,10332,1814,3686,532,126,435,6482,0,1,0,-836,-1908
2022/10/1 15:00,10213,1816,4750,513,126,498,4641,0,1,0,-308,-1824
2022/10/1 16:00,10115,1804,6624,505,126,506,2368,0,1,0,125,-1944
2022/10/1 17:00,9891,1804,7548,749,126,505,506,0,2,0,723,-2072
2022/10/1 18:00,9854,1806,7498,910,126,507,3,0,2,0,1116,-2114
2022/10/1 19:00,9461,1817,7387,906,126,509,0,0,2,0,816,-2102
2022/10/1 20:00,8907,1817,7349,845,127,507,0,0,3,0,327,-2068
2022/10/1 21:00,8384,1816,7194,607,128,509,0,0,4,0,122,-1996
2022/10/1 22:00,8108,1816,6898,524,128,507,0,0,4,0,75,-1844
2022/10/1 23:00,7716,1817,6434,534,128,507,0,0,2,0,14,-1720
2022/10/2 0:00,7138,1817,5886,497,128,508,0,0,2,0,-2,-1698
