DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2018/10/1  0:00,6659,1393,7214,0,0,0,267,0,95,406,0,-2716
2018/10/1  1:00,6677,1429,7134,0,0,0,242,0,94,397,0,-2619
2018/10/1  2:00,6918,1445,7085,0,0,0,317,0,95,391,0,-2415
2018/10/1  3:00,7207,1468,7203,0,0,0,470,0,94,401,0,-2429
2018/10/1  4:00,7383,1519,6971,0,0,0,701,0,94,389,0,-2291
2018/10/1  5:00,7389,1534,7101,0,0,0,590,0,95,386,0,-2317
2018/10/1  6:00,7620,1534,7450,0,159,0,673,0,95,388,0,-2679
2018/10/1  7:00,8040,1508,7358,0,727,0,725,0,95,365,0,-2738
2018/10/1  8:00,8811,1426,6735,0,1852,0,719,0,95,366,0,-2382
2018/10/1  9:00,9556,1314,7050,0,2631,0,653,0,95,347,0,-2534
2018/10/1  10:00,9886,1238,7154,0,2913,0,651,0,95,339,0,-2504
2018/10/1  11:00,10016,1207,7322,0,2891,0,699,0,98,329,0,-2530
2018/10/1  12:00,9469,1172,6926,0,2828,0,776,0,96,330,0,-2659
2018/10/1  13:00,9792,1212,7437,0,2405,0,798,0,97,335,0,-2492
2018/10/1  14:00,9841,1239,8085,0,1775,0,834,0,97,348,0,-2537
2018/10/1  15:00,9643,1286,8055,0,998,0,855,0,95,368,0,-2014
2018/10/1  16:00,9586,1356,8625,0,225,0,831,0,93,396,0,-1940
2018/10/1  17:00,9632,1420,8827,0,0,0,819,0,95,415,0,-1944
2018/10/1  18:00,9399,1475,8676,0,0,0,783,0,95,424,0,-2054
2018/10/1  19:00,8884,1523,8299,0,0,0,730,0,95,421,0,-2184
2018/10/1  20:00,8366,1554,7784,0,0,0,668,0,97,420,0,-2157
2018/10/1  21:00,7962,1574,7437,0,0,0,638,0,97,420,0,-2204
2018/10/1  22:00,7857,1572,7323,0,0,0,631,0,95,389,0,-2153
2018/10/1  23:00,7530,1565,7035,0,0,0,599,0,96,369,0,-2134
2018/10/2  0:00,7160,1408,7094,0,0,0,609,0,97,380,0,-2428
2018/10/2  1:00,7065,1403,6833,0,0,0,705,0,96,384,0,-2356
2018/10/2  2:00,7252,1436,6801,0,0,0,777,0,97,382,0,-2241
2018/10/2  3:00,7536,1438,7068,0,0,0,793,0,94,382,0,-2239
2018/10/2  4:00,7632,1436,7158,0,0,0,810,0,94,382,0,-2248
2018/10/2  5:00,7626,1421,7052,0,8,0,853,0,94,381,0,-2183
2018/10/2  6:00,7733,1410,6849,0,399,0,853,0,95,359,0,-2232
2018/10/2  7:00,8162,1395,6857,0,1397,0,794,0,95,327,0,-2703
2018/10/2  8:00,8789,1398,6153,0,2260,0,733,0,97,322,0,-2174
2018/10/2  9:00,9581,1401,5992,0,3146,0,651,0,95,306,0,-2010
2018/10/2  10:00,9645,1407,6149,0,3164,0,533,0,84,298,0,-1990
2018/10/2  11:00,9788,1410,6498,0,3329,0,470,0,77,299,0,-2295
2018/10/2  12:00,9296,1386,6361,0,3232,0,404,0,77,305,0,-2469
2018/10/2  13:00,9610,1473,7504,0,2486,0,371,0,78,311,0,-2613
2018/10/2  14:00,9749,1502,8180,0,1948,0,317,0,80,324,0,-2602
2018/10/2  15:00,9487,1529,8485,0,986,0,269,0,82,350,0,-2214
2018/10/2  16:00,9555,1564,9403,0,237,0,217,0,82,385,0,-2333
2018/10/2  17:00,9639,1678,9285,0,0,0,183,0,83,407,0,-1997
2018/10/2  18:00,9585,1703,9305,0,0,0,161,0,82,403,0,-2069
2018/10/2  19:00,9029,1657,8917,0,0,0,167,0,83,406,0,-2201
2018/10/2  20:00,8515,1588,8464,0,0,0,222,0,83,405,0,-2247
2018/10/2  21:00,8103,1530,7970,0,0,0,248,0,81,413,0,-2139
2018/10/2  22:00,7931,1492,7877,0,0,0,269,0,82,387,0,-2176
2018/10/2  23:00,7599,1479,7582,0,0,0,275,0,80,386,0,-2203
2018/10/3  0:00,7246,1401,7664,0,0,0,299,0,82,387,0,-2587
2018/10/3  1:00,7153,1381,7402,0,0,0,338,0,83,387,0,-2438
2018/10/3  2:00,7349,1385,7353,0,0,0,350,0,82,387,0,-2208
2018/10/3  3:00,7605,1388,7646,0,0,0,328,0,83,390,0,-2230
2018/10/3  4:00,7750,1382,7764,0,0,0,339,0,82,387,0,-2204
2018/10/3  5:00,7693,1350,7791,0,6,0,233,0,81,389,0,-2157
2018/10/3  6:00,7752,1303,7601,0,377,0,173,0,83,358,0,-2143
2018/10/3  7:00,8176,1286,7540,0,1410,0,169,0,83,318,0,-2630
2018/10/3  8:00,8743,1280,7268,0,2190,0,211,0,82,317,0,-2605
2018/10/3  9:00,9426,1258,7322,0,2879,0,270,0,82,308,0,-2693
2018/10/3  10:00,9561,1238,7068,0,3290,0,286,0,83,308,0,-2712
2018/10/3  11:00,9725,1245,7029,0,3393,0,304,0,84,313,0,-2643
2018/10/3  12:00,9252,1245,6806,0,3259,0,320,0,84,322,0,-2784
2018/10/3  13:00,9741,1294,7443,0,2844,0,319,0,82,328,0,-2569
2018/10/3  14:00,9716,1318,7735,0,2151,0,304,0,64,344,0,-2200
2018/10/3  15:00,9741,1365,8311,0,1378,0,302,0,63,362,0,-2040
2018/10/3  16:00,9586,1450,9026,0,245,0,285,0,62,383,0,-1865
2018/10/3  17:00,9695,1577,9208,0,3,0,244,0,63,393,0,-1793
2018/10/3  18:00,9591,1640,9264,0,0,0,191,0,64,403,0,-1971
2018/10/3  19:00,9067,1655,9002,0,0,0,147,0,64,437,0,-2238
2018/10/3  20:00,8563,1539,8598,0,0,0,97,0,78,447,0,-2196
2018/10/3  21:00,8117,1433,8251,0,0,0,99,0,77,458,0,-2201
2018/10/3  22:00,7906,1413,8134,0,0,0,77,0,77,430,0,-2225
2018/10/3  23:00,7570,1407,7816,0,0,0,75,0,81,428,0,-2237
2018/10/4  0:00,7228,1348,7896,0,0,0,64,0,78,430,0,-2588
2018/10/4  1:00,7140,1339,7762,0,0,0,44,0,79,420,0,-2504
2018/10/4  2:00,7329,1334,7661,0,0,0,44,0,77,409,0,-2196
2018/10/4  3:00,7602,1311,7942,0,0,0,33,0,81,403,0,-2168
2018/10/4  4:00,7735,1313,8079,0,0,0,34,0,81,388,0,-2160
2018/10/4  5:00,7747,1332,8033,0,6,0,37,0,82,386,0,-2129
2018/10/4  6:00,7895,1336,8059,0,364,0,34,0,80,359,0,-2337
2018/10/4  7:00,8196,1313,7740,0,1302,0,22,0,80,331,0,-2592
2018/10/4  8:00,8848,1307,7442,0,2422,0,11,0,79,337,0,-2750
2018/10/4  9:00,9429,1269,7164,0,3056,0,6,0,79,327,0,-2472
2018/10/4  10:00,9716,1229,7237,0,3361,0,11,0,81,321,0,-2524
2018/10/4  11:00,9709,1207,7557,0,3102,0,13,0,78,322,0,-2570
2018/10/4  12:00,9170,1199,7475,0,2739,0,26,0,79,327,0,-2675
2018/10/4  13:00,9712,1222,7965,0,2276,0,35,0,77,335,0,-2198
2018/10/4  14:00,9758,1248,8435,0,1587,0,30,0,77,348,1,-1968
2018/10/4  15:00,9648,1270,8848,0,936,0,26,0,77,367,1,-1877
2018/10/4  16:00,9655,1405,9257,0,192,0,28,0,79,388,1,-1695
2018/10/4  17:00,9877,1578,9591,0,0,0,28,0,80,398,14,-1812
2018/10/4  18:00,9676,1592,9329,0,0,0,26,0,78,400,130,-1879
2018/10/4  19:00,9182,1519,9290,0,0,0,37,0,78,398,1,-2141
2018/10/4  20:00,8675,1394,8810,0,0,0,56,0,79,400,1,-2065
2018/10/4  21:00,8222,1287,8307,0,0,0,104,0,76,402,0,-1954
2018/10/4  22:00,8105,1248,8363,0,0,0,137,0,79,368,0,-2090
2018/10/4  23:00,7720,1223,8025,0,0,0,148,0,79,366,0,-2121
2018/10/5  0:00,7336,1132,8164,0,0,0,154,0,80,368,1,-2563
2018/10/5  1:00,7219,1128,8080,0,0,0,167,0,78,369,1,-2604
2018/10/5  2:00,7423,1136,7872,0,0,0,162,0,77,367,1,-2192
2018/10/5  3:00,7736,1119,8115,0,0,0,172,0,79,366,0,-2115
2018/10/5  4:00,7810,1130,8181,0,0,0,171,0,76,366,0,-2114
2018/10/5  5:00,7803,1120,8152,0,4,0,183,0,81,366,0,-2103
2018/10/5  6:00,7870,1160,7919,0,302,0,178,0,78,354,1,-2122
2018/10/5  7:00,8170,1165,7687,0,935,0,164,0,79,335,1,-2196
2018/10/5  8:00,8911,1168,7592,0,1732,0,168,0,77,342,1,-2169
2018/10/5  9:00,9427,1164,7589,0,2141,0,191,0,79,329,0,-2066
