"year","area","generate","restraint","restraint_rate"
2016,"chubu",5964190,0,0
2017,"chubu",9223627,0,0
2018,"chubu",10507931,0,0
2019,"chubu",11457892,0,0
2020,"chubu",12672283,0,0
2021,"chubu",13653466,0,0
2022,"chubu",14723425,0,0
2023,"chubu",16189461,35197,0.0021693523524502025
2016,"chugoku",2891634,0,0
2017,"chugoku",4712429,0,0
2018,"chugoku",5720318,0,0
2019,"chugoku",6253624,0,0
2020,"chugoku",7012120,0,0
2021,"chugoku",7948264,0,0
2022,"chugoku",8676651,18000,0.002070238356893221
2023,"chugoku",8625614,303809,0.03402336298773168
2016,"hokkaido",1574213,0,0
2017,"hokkaido",2200523,0,0
2018,"hokkaido",2408643,0,0
2019,"hokkaido",2931845,0,0
2020,"hokkaido",3617032,0,0
2021,"hokkaido",4038928,0,0
2022,"hokkaido",3931010,1914,4.866608152102609e-4
2023,"hokkaido",5157014,811,0.00015723681978353278
2016,"hokuriku",618503,0,0
2017,"hokuriku",1018498,0,0
2018,"hokuriku",1144915,0,0
2019,"hokuriku",1310124,0,0
2020,"hokuriku",1495950,0,0
2021,"hokuriku",1621778,0,0
2022,"hokuriku",1758200,0,0
2023,"hokuriku",1949967,10401,0.0053056364927401385
2016,"kansai",3324480,0,0
2017,"kansai",4733813,0,0
2018,"kansai",6873277,0,0
2019,"kansai",7486508,0,0
2020,"kansai",7855556,0,0
2021,"kansai",8352761,0,0
2022,"kansai",8934042,460,5.148580189472228e-5
2023,"kansai",9446297,6645,7.029557570542589e-4
2016,"kyushu",5707512,0,0
2017,"kyushu",9345214,0,0
2018,"kyushu",10353408,23012,0.0022177205625832416
2019,"kyushu",10970427,312876.1,0.027729123043765437
2020,"kyushu",12661540,500789,0.03804714196097059
2021,"kyushu",13166455,575980,0.0419125140486384
2022,"kyushu",14621288,214255,0.014442005931296213
2023,"kyushu",14039234,1369877,0.08890045635987696
2016,"shikoku",1887060,0,0
2017,"shikoku",2843580,0,0
2018,"shikoku",3136500,0,0
2019,"shikoku",3424650,0,0
2020,"shikoku",4034300,0,0
2021,"shikoku",4282860,0,0
2022,"shikoku",4678770,13300,0.0028345698167333393
2023,"shikoku",4889880,77750,0.015651326688984484
2016,"tohoku",3729100,0,0
2017,"tohoku",6037268,0,0
2018,"tohoku",8139933,0,0
2019,"tohoku",9540090,0,0
2020,"tohoku",10666839,0,0
2021,"tohoku",12185538,0,0
2022,"tohoku",13440917,49444,0.0036651354252121198
2023,"tohoku",15435382,117122,0.007530748746311205
