"year","month","area","generate","restraint","restraint_rate"
2016,4,"chubu",674303,0,0
2016,5,"chubu",783315,0,0
2016,6,"chubu",672031,0,0
2016,7,"chubu",757116,0,0
2016,8,"chubu",842480,0,0
2016,9,"chubu",517452,0,0
2016,10,"chubu",612575,0,0
2016,11,"chubu",518809,0,0
2016,12,"chubu",586109,0,0
2017,1,"chubu",637453,0,0
2017,2,"chubu",693984,0,0
2017,3,"chubu",842595,0,0
2017,4,"chubu",841210,0,0
2017,5,"chubu",943933,0,0
2017,6,"chubu",951033,0,0
2017,7,"chubu",879116,0,0
2017,8,"chubu",838255,0,0
2017,9,"chubu",759800,0,0
2017,10,"chubu",505898,0,0
2017,11,"chubu",640466,0,0
2017,12,"chubu",689884,0,0
2018,1,"chubu",725439,0,0
2018,2,"chubu",812455,0,0
2018,3,"chubu",968999,0,0
2018,4,"chubu",1020011,0,0
2018,5,"chubu",1015165,0,0
2018,6,"chubu",972791,0,0
2018,7,"chubu",1099353,0,0
2018,8,"chubu",1095638,0,0
2018,9,"chubu",625454,0,0
2018,10,"chubu",807557,0,0
2018,11,"chubu",711234,0,0
2018,12,"chubu",653835,0,0
2019,1,"chubu",792880,0,0
2019,2,"chubu",762446,0,0
2019,3,"chubu",1024001,0,0
2019,4,"chubu",1188524,0,0
2019,5,"chubu",1338921,0,0
2019,6,"chubu",1043751,0,0
2019,7,"chubu",863087,0,0
2019,8,"chubu",1134466,0,0
2019,9,"chubu",995248,0,0
2019,10,"chubu",758736,0,0
2019,11,"chubu",870856,0,0
2019,12,"chubu",684976,0,0
2020,1,"chubu",758820,0,0
2020,2,"chubu",925169,0,0
2020,3,"chubu",1145128,0,0
2020,4,"chubu",1411280,0,0
2020,5,"chubu",1349678,0,0
2020,6,"chubu",1132357,0,0
2020,7,"chubu",809611,0,0
2020,8,"chubu",1441119,0,0
2020,9,"chubu",960590,0,0
2020,10,"chubu",923672,0,0
2020,11,"chubu",919885,0,0
2020,12,"chubu",894974,0,0
2021,1,"chubu",894079,0,0
2021,2,"chubu",1079023,0,0
2021,3,"chubu",1222362,0,0
2021,4,"chubu",1427519,0,0
